SampleName,r_raw,r_ImFlat,corr2_Masks,Area_ch1,Area_ch2,Mm_ch1,Mm_ch2,NMm_ch1,NMm_ch2,NMm_ch1_background_subtracted,NMm_ch2_background_subtracted
1,0.110446818465142,0.137102605623212,-0.0780377888706761,226.50981129,355.08396141,8.4221892474376,10.5614972604074,0.893867553098453,0.913506012458739,0.893738491017192,0.913387194197373
2,0.176080364921969,0.223447505313236,0.00944724427458281,493.72760322,544.07506167,7.1828211334664,8.03327127908778,0.877792758305548,0.889298132525365,0.877602124800711,0.889129621384256
3,0.205884597230283,0.25001411302546,-0.04236396589942,245.71709793,685.94380758,6.54074622681209,9.52633323754743,0.867387129877893,0.905000157468605,0.867100242977424,0.904765088216984
4,0.120429432038114,0.144708524927379,-0.0569239814906113,1011.2493078,734.82205194,8.18345583288503,10.0722102438247,0.891108530579621,0.909683795919814,0.8909178696132,0.909569237109999
5,0.145394659282019,0.17628231229681,-0.0437120930825696,718.69653144,1221.27525369,8.32046971379207,9.81188878908288,0.892709269950179,0.907509222531984,0.892543835846182,0.907329972725622
7,0.116988435230171,0.144943308679705,-0.0540154700918872,198.27223317,313.08593913,8.62155521357175,11.7475411855791,0.896066698386822,0.921553499185296,0.895938226243856,0.921377008834461
8,0.116740967808516,0.140964328587518,-0.0569132978790388,1074.81969306,863.10952614,8.82027877028053,9.96121009624935,0.898169896864197,0.908769196902614,0.898010303146407,0.90865874478881
9,0.170984131875302,0.216134619345446,-0.0110404085786942,130.90339197,175.80400794,8.22060457288975,6.71265099246207,0.89154724160494,0.870342894942693,0.891307193835236,0.869773243107862
10,0.174608484070475,0.204669703293562,-0.0153779649073991,611.62307532,1111.80088674,7.50798504020554,8.41290935379386,0.882463357037609,0.893762920430446,0.882283514862928,0.893551520032544
11,0.149264917281198,0.196842983031852,-0.00882364704387656,621.04754619,734.39203806,8.42612691982606,10.0451110362268,0.893911888890792,0.909462204886841,0.893808429291094,0.909352890874325
12,0.878235192373426,0.997557343960881,0.982195636898854,146.09721573,143.19462204,0.995605246062182,1.01040546183651,0.498898891966111,0.502587901304995,0.497854590844951,0.501644836333631
13,0.112618139670204,0.149546224880329,-0.0325315672930249,223.35637617,268.90201296,9.21126311181029,11.0395982910148,0.902068922419264,0.916940750361555,0.901963620895515,0.9168271100918
14,0.382705471428984,0.495143729107672,0.140758551754283,492.18672015,85.50109314,5.87354057406334,6.75027647952123,0.854514570878739,0.870972344968295,0.854277480218495,0.870902367044855
15,0.138522729421545,0.163645509176506,-0.0416811719791748,344.7277938,87.0778107,7.38483626370007,12.1899545429315,0.880737086742023,0.924184727343439,0.88051932259891,0.9241210879893
16,0.201874106563646,0.23496443254023,-0.0344871017518026,146.16888471,542.10416472,7.62000140419702,10.8376866487107,0.883990738155436,0.915524035254902,0.88386398677174,0.915323067368402
17,0.246383899680705,0.298711471167231,0.0706450431600132,152.86993434,453.16296054,7.15619751035368,6.5945536247207,0.877393846981933,0.868326691809122,0.877253607497582,0.868039277295873
18,0.17879392327552,0.209882705818672,-0.0207144020892072,240.95111076,582.74047638,7.88633807938965,8.26786998453256,0.887467707050295,0.892100342185537,0.887272535964041,0.891817109712955
19,0.0836859780460791,0.121319574759678,-0.072250770884795,763.91965782,583.77967659,8.32895118673393,11.1443795196788,0.892806813972611,0.917657382299393,0.892559464717996,0.917541883168422
20,0.269338335542474,0.327187853570892,0.0516573009545499,203.82657912,653.19108372,6.71739509315169,7.30640441526029,0.870422598826463,0.87961096642937,0.870270133044044,0.87940404328588
21,0.156609402649069,0.183337990161205,-0.0487296345068457,305.45319276,629.14614093,7.77744107712765,8.80144365218597,0.88607157926633,0.897974213239804,0.885875641311111,0.897765048624578
22,0.179951390404323,0.21510458587328,-0.0289971828121505,229.01822559,411.23660724,7.17930001285415,7.30638314833806,0.877740149104636,0.879610658196031,0.877534888007649,0.879363763114672
23,0.0958749575953652,0.12384214653141,-0.0727327783919937,1140.57598221,995.94798057,8.7501972270304,10.3586444501994,0.897437972102994,0.911961325633144,0.8972809730017,0.911841757449681
24,0.196438335041438,0.241274583183277,0.0360676413407953,418.69018116,359.4199347,6.60862821583679,8.0772802718678,0.868570263701599,0.889834843692203,0.868377457744409,0.889727978617416
25,0.157945967088112,0.205817234834609,0.00639192191288633,184.44012003,243.10118016,7.56261607543457,8.83314895212954,0.883213262022933,0.898303177866188,0.883052609295024,0.898136773002463
